Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process (GO:0000956)	44/174	8.784432568748371e-13	3.171180157318162e-09	0	0	4.1742072319073	115.87860197242132	SMG1;RPL34;RPLP1;RPL12;RPL36A;CASC3;RPS4Y1;SMG7;RPL9;GSPT1;RPL7;PPP2CA;RPS17;RPL18A;EXOSC9;ZC3H12A;RPL36;RPL38;RPL37;RPL39;RPS10;EIF4E;EIF4B;PAIP1;UPF2;UPF1;NCBP1;NCBP2;RPL22;PATL2;CNOT4;RPS26;RPS28;XRN1;CNOT1;RPS29;CSDE1;RPS20;ETF1;EIF3E;PABPC1;CNOT8;DCP1A;RPS21
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	33/112	6.995848213010746e-12	1.2627506024484396e-08	0	0	5.128103293843268	131.7189445960881	SMG1;RPL34;RPLP1;RPL12;RPL36A;CASC3;RPS4Y1;SMG7;RPL9;GSPT1;RPL7;PPP2CA;RPS17;RPL18A;RPL36;RPL38;RPL37;RPL39;RPS10;UPF2;UPF1;NCBP1;NCBP2;RPL22;RPS26;RPS28;RPS29;RPS20;ETF1;EIF3E;PABPC1;DCP1A;RPS21
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	183/1478	2.4036055825889787e-11	2.8923387177154044e-08	0	0	1.8003746434013497	44.021799536779255	TCERG1;CCNT2;MAML1;PRDM5;ARID4A;RORA;PRDM2;PRDM1;AHR;IKZF3;BACH1;IKZF5;DCAF1;ZC3H12A;NAMPT;EP300;EPC2;KAT7;CCNL1;HOXA5;MEF2A;EOMES;PRKCB;ZNF281;ZBTB38;ARID5B;DICER1;MED6;RUNX1;PRPF6;DDIT3;TFAM;PHIP;ZNF831;EZR;ANKRA2;KMT2A;CBFB;PRKDC;TCF7;GATA6;PIK3R1;HIF1A;RPAP2;PHF21A;ZBTB2;FAM83G;TTC21B;MYO6;DHX36;HIVEP1;SAFB2;CAMTA1;RPRD1B;ZBED5;LYAR;RREB1;ABCA2;EGR1;SMAD1;CBX7;DR1;EGR2;SMAD3;BCL11B;PHF12;PTCH1;SLC33A1;THAP12;NR1D2;SUPT5H;TRERF1;NFKB1;ESR2;NFKB2;CDK9;MLLT10;AHI1;NR4A1;RGCC;SNW1;YEATS2;CNOT1;AGO2;SP3;JMY;MDM2;CREBRF;TAF4B;MDM4;CDK12;BRWD1;ZNF136;BMPR1A;AKAP8L;CHD3;CHD2;CD3D;MYSM1;CDC73;MED17;NIPBL;MED13;ZMYM2;TRPS1;NFKBIZ;NCK2;GABPA;TGIF1;KLF10;KDM6B;SS18;NCOA2;SREBF1;BRD2;KLF13;RIPK2;EED;NCOA3;TET2;NME2;VEZF1;PARP9;ZHX1;MED23;ETV7;DUSP22;PPM1A;ELF1;SFPQ;ZEB1;RBL1;ZNF639;NFX1;MED21;IRF5;ITGB1BP1;MCPH1;HDAC5;SP100;CAMK2D;USP15;ZNF350;USP16;LEF1;NLRC5;FOXK1;NOD2;RNF4;HDAC9;RELB;MNT;TCEAL4;ELMSAN1;MXI1;ZNF746;E2F3;MEF2D;SPEN;NPM1;USP9X;PCGF5;USP9Y;FOXJ3;CDC5L;ELP2;USF2;GATAD2B;ASXL1;PER1;TNIP3;PDCD4;ZNF217;QRICH1;CEBPZ;AGRN;PAXBP1;TAF3;PPIL4;LPIN2;RBMX;TRIM33;TAF2
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	145/1120	1.625828972549445e-10	1.467310647725874e-07	0	0	1.877108077108077	42.30970278234497	CCNT2;NCF1;ICE1;MAML1;RORA;PRDM2;AHR;IKZF3;ZXDA;ZC3H12A;NAMPT;EP300;KAT7;CCNL1;ATXN7L3;HOXA5;CDK5RAP2;MEF2A;EOMES;ANKRD49;FBXW11;ZNF281;ZBTB38;PIAS2;MED6;PIAS1;RUNX1;ILF3;PRPF6;DDIT3;KAT6A;TFAM;PHIP;ASF1A;KMT2E;KMT2A;PRKDC;GATA6;PIK3R1;HIF1A;SEC14L2;MYO6;DHX36;CAMTA1;RPRD1B;RREB1;EGR1;SMAD1;EGR2;BRPF1;SMAD3;BCL11B;NR1D2;PBX4;SUPT5H;TRERF1;NFKB1;ESR2;NFKB2;CDK9;MLLT10;AHI1;NR4A1;RGCC;SNW1;ID2;AGO2;SP3;BCL3;CREBRF;TAF4B;CDK12;PICALM;BMPR1A;ELL;PHF1;AKAP8L;CD3D;MYSM1;CDC73;WDR43;MED17;ING5;EDRF1;MED13;NCK2;GABPA;YWHAH;KLF10;KDM6B;SS18;NCOA2;SREBF1;ATMIN;RIPK2;NCOA3;TET2;NME2;VEZF1;TFB2M;PARP9;PPM1A;DNAJC2;ELF1;SFPQ;RBL1;MDFIC;ZNF639;MED21;WAC;IRF5;ITGB1BP1;HDAC5;SP100;ZNF350;USP16;LEF1;NLRC5;RNF6;NOD2;RNF4;RELB;BCLAF1;ZNF746;E2F3;MEF2D;MAP3K2;ATF7IP;NPM1;PCGF5;FOXJ3;CDC5L;USF2;ASXL1;PER1;CD4;TNIP3;CAMK4;CEBPZ;AGRN;PAXBP1;TAF3;LPIN2;RBMX;TAF2
GO_Biological_Process_2018	transcription from RNA polymerase II promoter (GO:0006366)	76/485	1.543842091865385e-09	9.431639685960569e-07	0	0	2.306455271847352	46.79565178085961	TCERG1;SETD2;INTS13;CCNT2;ELL;ICE1;MAML1;GTF2B;ARID4A;RORA;CASC3;AHR;CDC73;MED17;MED13;PTTG1;TRPS1;GABPA;KLF13;NCBP1;NCBP2;VEZF1;ASH1L;MED6;WDR33;SRRM1;MED23;ETV7;NFX1;ZC3H11A;DDIT3;SNRPG;SRSF2;ZNF831;SRSF6;SLU7;IRF9;NOTCH2;CBFB;KMT2A;RNMT;SRRT;LEF1;GATA6;DDX21;CSTF2T;HIF1A;RPAP2;MNT;U2AF2;HIVEP1;E2F3;RPRD1B;MSC;RREB1;EGR1;EGR2;EAF1;ELP2;NR1D2;PBX4;SUPT5H;USF2;NFKB1;ESR2;CDK9;NR4A1;SNW1;COPS2;TAF4B;CEBPZ;CDK12;ZNF136;RBMX;TAF3;TAF2
GO_Biological_Process_2018	ribonucleoprotein complex assembly (GO:0022618)	36/156	1.5675855433729476e-09	9.431639685960569e-07	0	0	3.682073578595318	74.64936289123715	HSP90AB1;YTHDC1;CELF1;RPS10-NUDT3;RPL12;PPAN;RPS27L;CDC73;RPS17;RRS1;RPL38;BRIX1;RPS10;SF3B1;SRSF10;MDN1;EIF4B;EIF2A;NPM1;NCBP1;SCAF11;PTGES3;DICER1;PATL2;RPS28;PRPF6;EIF2S3;SNW1;SNRPG;LUC7L3;SRSF6;SNRNP200;LSM14A;RSL24D1;LUC7L2;EIF3A
GO_Biological_Process_2018	ncRNA processing (GO:0034470)	45/227	2.800883714925757e-09	1.4444557444117117e-06	0	0	3.042739561918566	59.92167690481	DDX47;RPL34;RPLP1;RPL12;SRRT;RPL36A;NOL8;ADAR;RPS4Y1;RPL9;WDR43;RPL7;RPS17;RPL18A;EXOSC9;RPL36;RPL38;RPL37;RPL39;RPS10;LYAR;MDN1;SMAD1;NOP58;SMAD3;NCBP1;PNO1;DIS3;KRR1;RPL22;DICER1;DDX52;UTP18;RPS26;RCL1;RPS28;AGO3;RPS29;AGO4;AGO2;SBDS;MPHOSPH10;RPS20;NOL11;RPS21
GO_Biological_Process_2018	mRNA processing (GO:0006397)	51/283	7.709736031113444e-09	3.4790183840399413e-06	0	0	2.70878087138863	50.60214463854104	CELF1;AKAP8L;CASC3;ALKBH5;METTL14;DHX15;SRRM2;RBM15;NCBP1;SCAF11;NCBP2;PRPF40A;PRPF4B;SRRM1;WDR33;ERN1;SFPQ;PRPF6;HNRNPH1;PSPC1;SYF2;ZC3H11A;PRPF3;SNRPG;SRSF2;SNRPA1;PABPC1;HNRNPH3;SRSF6;SNRNP200;SLU7;SNRPA;ZCCHC8;U2AF1L5;RNMT;SRRT;CSTF2T;U2AF2;TRA2B;SF3B1;SRSF10;SMNDC1;SF3A3;SPEN;CDC5L;CWC15;SUPT5H;LSM8;SNW1;SON;RBMX
GO_Biological_Process_2018	protein targeting to ER (GO:0045047)	26/97	1.0675707700341996e-08	3.913075927766848e-06	0	0	4.476608488138131	82.1694693317504	RPL34;RPLP1;RPL12;RPL36A;RPS4Y1;RPL9;RPL7;RPS17;RPL18A;SRP72;SEC61G;RPL36;RPL38;RPL37;SEC62;RPL39;RPS10;SEC63;RPL22;PMM2;SRP68;RPS26;RPS28;RPS29;RPS20;RPS21
GO_Biological_Process_2018	regulation of RNA splicing (GO:0043484)	19/55	1.0839545506279358e-08	3.913075927766848e-06	0	0	6.434211493239271	118.00385552524692	MBNL1;MBNL2;CELF1;YTHDC1;DYRK1A;AKAP17A;PIK3R1;PTBP2;JMJD6;PTBP3;ERN1;RPS26;SON;HNRNPH1;U2AF2;TRA2B;ZNF326;METTL16;SRSF10
