Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	nucleus (GO:0005634)	495/4484	9.122473953898158e-21	3.0925186703714762e-18	0	0	1.7344028123672144	80.0314958139892	MAML1;ZNF292;BACH1;RPL9;SMC4;RPL7;ZC3H12D;DCAF1;ZXDA;KIAA1109;ALKBH5;ZC3H12A;BBX;ADNP2;PRKACB;HOXA5;MEF2A;TSPYL2;SAP30BP;MBNL1;PRKCB;ZNF281;STARD9;RPL22;WDR74;DDX10;DICER1;ZNF14;MED6;GTPBP4;DDIT3;SRFBP1;NUP98;ASF1A;CDCA4;PRKDC;GATA6;AKAP17A;RPS4Y1;SAMSN1;HIF1A;MYO6;RREB1;ZNF267;CTC1;NAA50;GTF2IRD2;TIPARP;NR1D2;PBX4;ZNF35;PHC3;MLLT10;AGO2;PSMG1;HBP1;PSMG2;CDK12;ZNF136;BTG3;SMG1;SETD2;WDR48;PHF1;FMN1;SMG7;MED17;ING5;NIPBL;MED13;ANXA7;UPF2;DUSP5;SS18;UPF1;ZNF121;BRD2;DUSP2;ANXA1;TET2;SERPINB9;ASH1L;GNL2;CDYL2;WDR33;SERPINB6;ZEB1;WDR26;ZNF350;RNMT;RPS27L;NSD3;BCLAF1;RNF138;MEF2D;SRSF10;SF3B1;NKTR;ZNF101;SF3A3;SLF1;TRMT10C;USP9X;PCGF5;CDKN2A;USP9Y;YLPM1;ELP5;SCAF4;ZNF33B;ZNF33A;PSMC6;FABP5;ZNF217;PKN2;ZNF451;CCNT2;RIF1;GTF2B;RORA;CASC3;AHR;PPP1CC;PAPOLG;ZNF207;KPNA6;NEK1;CIR1;MTREX;ZNF326;KPNA3;PPP1R16B;TLE3;CSNK1G3;AGTPBP1;ANKRD49;FBXW7;ZBTB38;USP3;DYRK1A;PRPF4B;VRK2;TC2N;FBXO11;PIAS2;CDC25B;PIAS1;HIC2;CLIP1;ILF3;KAT6A;MAPKAPK2;SRSF2;ZNF317;SNRPG;PHIP;SNRNP200;KMT2E;FTO;NOTCH2;ZNF791;INO80D;KMT2A;KMT2C;CUL3;ANKRD11;RLF;ORC4;ATXN1;ATXN7;BAG3;UBR5;SAFB2;ZNF544;MDN1;AKIRIN1;BRPF1;STYX;ZBTB10;FBXO32;NFKB1;NFKB2;CDK9;LSM8;RGCC;MAFB;GON4L;STK24;SP3;BCL3;MDM2;BCL2;MDM4;ZNF654;CNOT8;PPP1R13B;HSP90AB1;CELF1;MCM9;AKAP8L;CDC73;SYNE2;SYNE1;DUSP11;NGRN;METTL14;ZNF407;PPP6R2;TLK2;ZNF766;ZNF644;TNPO1;METTL16;METTL18;BOK;EIF5B;ZFP91;VEZF1;PTBP2;PATL2;PTBP3;PPM1A;DNAJC2;DBF4;TRAF4;ZNF639;SYF2;ETF1;SNRPA1;ZNF630;BIRC3;HDAC5;TRIM52;RNF34;UHRF2;RNF38;ZBTB43;NLRC5;LENG8;PARD6G;FOXK1;PBXIP1;HDAC9;ZBTB40;DNAJB6;U2AF2;ZNF507;KATNA1;ZNF746;E2F3;ASCC3;FEM1B;FOXJ3;CDC5L;PTPN11;PDCD4;EIF3E;CEBPZ;PPIL4;TRIM33;TCERG1;PPAN;MT1X;IKZF3;NUDT4;CDC27;KAT7;CCNL1;ATXN7L3;SRRM2;RUNX1;SRRM1;JMJD6;XRN1;ZNF836;GRWD1;TFAM;KIF20B;ANKRA2;L3MBTL3;GGNBP2;DCUN1D5;MYCBP2;DCUN1D4;PIK3R1;RPAP2;UBE2J1;SEC14L2;FXR1;MRNIP;ZNF827;DHX36;MIER1;HIVEP1;LYAR;N4BP1;EGR1;EGR2;RABGAP1L;BCL11B;NMI;PARP14;TRERF1;SMU1;SNW1;STAG2;ID2;CREBRF;APOBEC3A;INTS13;AHCTF1;PPP1R10;PYROXD1;WASL;ZNF808;SCML4;ZNF805;XPO6;UIMC1;DHX15;REV3L;CTSG;GABPA;NCOA2;SREBF1;ATMIN;NCOA3;PABPC4;NME2;ZFY;PARP9;ZHX1;MLF1;RHOB;MDFIC;NFX1;HNRNPH1;WAC;PABPC1;HNRNPH3;SLU7;SP100;AKAP8;RELB;PCNP;PPP2CA;PURB;TCEAL4;EXOSC9;LMNA;SHOC2;GPBP1L1;RANBP2;NPM1;NPM2;MYEF2;RYK;PTGES3;HUWE1;RANBP6;PER1;STK17A;CAMK4;CCNG1;TTC3;PRDM5;PEBP1;ARID4A;PRDM2;PRDM1;HELB;PTTG1;ZNF84;EP300;FBXW11;THEMIS;UBE4A;ARID5B;MAU2;PRPF6;PSPC1;PRPF3;SBDS;CMPK1;PPIG;HDGFL3;ZCCHC8;YTHDC1;YTHDC2;TCF7;NDRG1;FAM83G;CAMTA1;PMAIP1;RPRD1B;MSC;PIBF1;SMAD1;CBX7;SMAD3;PHF12;PHF11;CHCHD10;NUP153;CWC15;SUPT5H;ESR2;NR4A1;EIF2S3;APPBP2;JMY;BRWD1;PICALM;DDX3Y;RBM27;USP36;USP37;DYRK2;KDM5D;USP38;DDX47;USP34;CGAS;ADAR;CHD3;CHD2;MYSM1;YBX3;CABIN1;SENP7;CASP7;SENP5;TRPS1;NFKBIZ;PDE4B;POLK;KLF10;KDM6B;RBM15;NCBP1;NCBP2;EED;PPP2R5C;TENT5C;UTP18;SUPV3L1;LATS1;ETV7;ELF1;SFPQ;LUC7L3;IRF5;ITGB1BP1;PFDN2;EAPP;PFDN4;KDM7A;IRF9;USP15;CAMK2D;RRN3;USP16;USP10;LEF1;USP12;RNF6;RNF4;GNA13;TRA2B;FAM120A;MXI1;MVB12B;MAPK6;SMNDC1;ATF7IP;USP24;SPEN;MX2;MX1;ZFC3H1;NAP1L1;YY1AP1;USF2;CHFR;WEE1;RPS6KB1;RGS10;SPRY2;QRICH1;FAM98B;CCDC174;PAXBP1;TAF3;LPIN2;RBMX
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	547/5192	9.132708681770266e-19	1.54799412156006e-16	0	0	1.6543989078211556	68.71918837447339	TFRC;MAML1;ZNF292;BACH1;RPL9;SMC4;RPL7;ZC3H12D;DCAF1;ZXDA;KIAA1109;ALKBH5;ZC3H12A;BBX;ADNP2;PRKACB;HOXA5;MEF2A;TSPYL2;SAP30BP;MBNL1;FNBP1;PRKCB;ZNF281;STARD9;RPL22;WDR74;DDX10;DICER1;ZNF14;RC3H2;MED6;GTPBP4;DDIT3;SRFBP1;NUP98;ASF1A;PDXDC1;CDCA4;PRKDC;GATA6;AKAP17A;RPS4Y1;SAMSN1;HIF1A;MYO6;VTI1A;RREB1;ZNF267;CTC1;NAA50;ABCA2;GTF2IRD2;TIPARP;NR1D2;BRAF;PBX4;ZNF35;PHC3;MLLT10;AGO2;PSMG1;HBP1;PSMG2;CDK12;ZNF136;BTG3;SMG1;SETD2;WDR48;PHF1;FMN1;SMG7;MED17;ING5;NIPBL;MED13;ANXA7;HLA-DPA1;UPF2;DUSP5;SS18;UPF1;ZNF121;BRD2;DUSP2;ANXA1;TET2;SERPINB9;ASH1L;GNL2;CDYL2;WDR33;SERPINB6;AFTPH;ZEB1;RAPGEF1;WDR26;ZNF350;RNMT;RPS27L;AOAH;NSD3;HLA-DMA;BCLAF1;BTAF1;RNF138;STX2;MEF2D;SRSF10;SF3B1;NKTR;ZNF101;SF3A3;SLF1;TRMT10C;SLC16A1;USP9X;PCGF5;CDKN2A;USP9Y;YLPM1;ELP5;SCAF4;ZNF33B;ZNF33A;PSMC6;FABP5;UBAP1;ZNF217;PKN2;ZNF451;CCNT2;RIF1;ATP8A1;GTF2B;RORA;CASC3;MSI2;AHR;PPP1CC;PAPOLG;ZNF207;KPNA6;NEK1;CIR1;MTREX;ZNF326;KPNA3;PPP1R16B;TLE3;CSNK1G3;AGTPBP1;ANKRD49;FBXW7;IST1;ZBTB38;USP3;DYRK1A;PRPF4B;VRK2;TC2N;FBXO11;PIAS2;CDC25B;PIAS1;HIC2;CLIP1;ILF3;KAT6A;MAPKAPK2;SRSF2;ZNF317;SNRPG;PHIP;SNRNP200;KMT2E;FTO;NOTCH2;ZNF791;INO80D;KMT2A;KMT2C;CUL3;ANKRD11;RLF;ORC4;ATXN1;ATXN7;BAG3;UBR5;SAFB2;ZNF544;MDN1;AKIRIN1;BRPF1;STYX;ZBTB10;FBXO32;NFKB1;NFKB2;CDK9;LSM8;RGCC;MAFB;GON4L;STK24;SP3;BCL3;MDM2;BCL2;MDM4;ZNF654;CNOT8;RAB5A;PPP1R13B;HSP90AB1;CELF1;MCM9;AKAP8L;CDC73;SYNE2;SYNE1;DUSP11;NGRN;METTL14;AP1G1;ZNF407;PPP6R2;TLK2;ZNF766;ZNF644;DNM1L;TNPO1;METTL16;METTL18;BOK;EIF5B;ZFP91;VEZF1;PTBP2;PATL2;PTBP3;PPM1A;DNAJC2;DBF4;TRAF4;ZNF639;SYF2;ETF1;SNRPA1;ZNF630;BIRC3;HDAC5;TRIM52;RNF34;UHRF2;MAK16;RNF38;ZBTB43;NLRC5;LENG8;PARD6G;FOXK1;PBXIP1;HDAC9;ZBTB40;AP3M1;DNAJB6;U2AF2;ZNF507;KATNA1;ZNF746;E2F3;ASCC3;FEM1B;FOXJ3;CDC5L;PTPN11;PDCD4;EIF3E;CEBPZ;PPIL4;TRIM33;TNRC6A;TCERG1;ECI2;PPAN;MT1X;IKZF3;NUDT4;CDC27;KAT7;CCNL1;ATXN7L3;CCDC93;SRRM2;RUNX1;SRRM1;JMJD6;MARF1;XRN1;ZNF836;GRWD1;AKAP9;TFAM;KIF20B;ANKRA2;L3MBTL3;GGNBP2;DCUN1D5;MGST3;MYCBP2;DCUN1D4;PIK3R1;RPAP2;UBE2J1;SEC14L2;FXR1;MRNIP;ZNF827;DHX36;MIER1;HIVEP1;B4GALNT3;RAB11FIP2;LYAR;N4BP1;EGR1;EGR2;RABGAP1L;BCL11B;SIAH2;EAF1;NMI;PARP14;TRERF1;SMU1;SNW1;STAG2;ID2;GOLGB1;CREBRF;APOBEC3A;INTS13;AHCTF1;PPP1R10;PYROXD1;MCUB;WASL;ZNF808;SCML4;ZNF805;XPO6;UIMC1;DHX15;REV3L;CTSG;GABPA;NCOA2;SREBF1;ATMIN;NCOA3;PABPC4;NME2;RHOH;ZFY;PARP9;ZHX1;MLF1;RHOB;MDFIC;NFX1;HNRNPH1;WAC;PABPC1;HNRNPH3;SLU7;SP100;ATP23;ZDHHC20;AKAP8;RELB;PCNP;PPP2CA;PURB;TCEAL4;EXOSC9;LMNA;SHOC2;GPBP1L1;EPS15;RANBP2;NPM1;NPM2;MYEF2;RYK;PTGES3;HUWE1;RANBP6;PER1;STK17A;CAMK4;CCNG1;TTC3;CD84;PRDM5;PEBP1;ARID4A;PRDM2;PRDM1;HELB;PTTG1;ZNF84;EP300;FBXW11;THEMIS;UBE4A;ARID5B;MAU2;PRPF6;PSPC1;PRPF3;SBDS;CMPK1;PPIG;HDGFL3;ZCCHC8;YTHDC1;YTHDC2;TCF7;NDRG1;FAM83G;CAMTA1;PMAIP1;RPRD1B;MSC;PIBF1;SPECC1;SMAD1;CBX7;SMAD3;PTCH1;PHF12;PHF11;CHCHD10;CWC15;SUPT5H;ESR2;NR4A1;DIAPH2;EIF2S3;APPBP2;JMY;BRWD1;PICALM;DDX3Y;RBM27;USP36;USP37;DYRK2;KDM5D;USP38;DDX47;USP34;CGAS;ADAR;CHD3;CHD2;MYSM1;YBX3;CABIN1;FYCO1;SENP7;CASP7;SENP5;TRPS1;NFKBIZ;PDE4B;POLK;KLF10;KDM6B;RBM15;NCBP1;NCBP2;EED;PPP2R5C;TENT5C;UTP18;SUPV3L1;LATS1;ETV7;ELF1;SFPQ;OAS3;LUC7L3;IRF5;ITGB1BP1;PFDN2;EAPP;PFDN4;KDM7A;IRF9;USP15;CAMK2D;RRN3;USP16;USP10;LEF1;TGFBRAP1;GOSR1;USP12;CSTF2T;RNF6;RNF4;GNA13;TRA2B;FAM241A;FAM120A;MXI1;MVB12B;S1PR1;MAPK6;SMNDC1;KLRG1;ATF7IP;USP24;SPEN;MX2;MX1;ZFC3H1;NAP1L1;ATP2B1;YY1AP1;USF2;CHFR;WEE1;RPS6KB1;RGS10;SPRY2;QRICH1;FAM98B;CCDC174;PAXBP1;TAF3;LPIN2;RBMX
GO_Cellular_Component_2021	nucleolus (GO:0005730)	103/733	1.1028252298229483e-09	1.1171198421261773e-07	0	0	2.0423914010048465	42.12512032021672	GORAB;PRDM5;CDC14A;RPL7;PPP1CC;HELB;RPL36;ZNF207;KAT7;RPS10;TSPYL2;NOM1;AGTPBP1;SCAF11;WDR74;ACSL5;CASK;LARP4B;FBXO11;GTPBP4;JMJD6;ILF3;KAT6A;GRWD1;CMPK1;SBDS;KIF20B;ZCCHC8;ZCCHC7;L3MBTL3;PRKDC;PRKRIP1;TWF1;BAZ2A;RPAP2;FXR1;ORC4;RNF213;ATXN1;RRS1;MBIP;CAMTA1;BRIX1;LLPH;LYAR;MDN1;N4BP1;PNO1;NUP153;PUM3;RCL1;DIAPH2;RGCC;STK24;MDM2;MPHOSPH10;NOL11;BRWD1;RBIS;RSL24D1;USP36;DDX47;TUT4;SETD7;ADAR;CHD3;KRI1;MYSM1;WDR43;SYNE1;OASL;SENP5;XPO6;METTL18;DIS3;ZFP91;GNL2;ZFY;UTP18;DNAJC2;NFX1;KDM7A;RRN3;DDX24;MAK16;AKAP8;NOL8;DDX21;TAF1D;EXOSC9;MXI1;NOP58;NPM1;NPM2;KRR1;ZFC3H1;YY1AP1;VMP1;RSL1D1;NIN;WEE1;TTC3;EIF3A
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	104/745	1.3181355069335424e-09	1.1171198421261773e-07	0	0	2.0270009959473363	41.44618583642302	GORAB;PRDM5;CDC14A;RPL7;PPP1CC;HELB;RPL36;ZNF207;KAT7;RPS10;TSPYL2;NOM1;AGTPBP1;SCAF11;WDR74;ACSL5;CASK;LARP4B;FBXO11;GTPBP4;JMJD6;ILF3;KAT6A;GRWD1;CMPK1;SBDS;KIF20B;ZCCHC8;ZCCHC7;L3MBTL3;PRKDC;PRKRIP1;TWF1;BAZ2A;RPAP2;FXR1;ORC4;RNF213;ATXN1;RRS1;MBIP;CAMTA1;BRIX1;LLPH;LYAR;MDN1;N4BP1;PNO1;NUP153;PUM3;RCL1;DIAPH2;RGCC;STK24;MDM2;MPHOSPH10;NOL11;BRWD1;RBIS;RSL24D1;USP36;DDX47;TUT4;SETD7;ADAR;CHD3;KRI1;MYSM1;WDR43;SYNE2;SYNE1;OASL;SENP5;XPO6;METTL18;DIS3;ZFP91;GNL2;ZFY;UTP18;DNAJC2;NFX1;KDM7A;RRN3;DDX24;MAK16;AKAP8;NOL8;DDX21;TAF1D;EXOSC9;MXI1;NOP58;NPM1;NPM2;KRR1;ZFC3H1;YY1AP1;VMP1;RSL1D1;NIN;WEE1;TTC3;EIF3A
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	142/1158	9.673568075636766e-09	6.558679155281727e-07	0	0	1.7561535234661545	32.40782638367103	GTF2B;GORAB;PRDM5;RPL9;CDC14A;RPL7;PPP1CC;RPS17;HELB;CSPP1;ZC3H12A;CDC27;ZNF207;RPL36;KAT7;RPS10;CDK5RAP2;TSPYL2;NOM1;AGTPBP1;RSAD2;ESCO1;SCAF11;WDR74;DYRK1A;CASK;ACSL5;LARP4B;FBXO11;GTPBP4;JMJD6;ILF3;KAT6A;GRWD1;AKAP9;SBDS;CMPK1;ODF3B;KIF20B;ZCCHC8;ZCCHC7;L3MBTL3;DCUN1D5;PRKDC;PRKRIP1;CCDC146;TWF1;BAZ2A;RPAP2;FXR1;ORC4;RNF213;ATXN1;MBIP;RRS1;CAMTA1;BRIX1;LLPH;LYAR;MDN1;N4BP1;GCN1;VCAM1;PNO1;EIF2AK2;NUP153;PUM3;RCL1;CYLD;DIAPH2;RGCC;STAG2;STK24;MDM2;MPHOSPH10;NOL11;BRWD1;RBIS;RSL24D1;USP36;SETD2;DYRK2;DDX47;TUT4;SETD7;FAF2;ADAR;CHD3;KRI1;MYSM1;WDR43;SYNE1;OASL;SENP5;XPO6;METTL18;RIPK2;DIS3;CEP295;VPS13A;ZFP91;RHOH;ZFY;GNL2;UTP18;RHOB;DNAJC2;NFX1;CDC42EP3;PLIN2;ITGB1BP1;SAXO2;KDM7A;RRN3;DDX24;MAK16;RPL36A;AKAP8;DDX21;NOL8;NOD2;PDLIM1;TAF1D;KATNA1;EXOSC9;MXI1;NOP58;NPM1;NPM2;KRR1;ZFC3H1;UBE2G2;SRP68;YY1AP1;VMP1;RSL1D1;NIN;WEE1;TTC3;SPRY2;VIM;EIF3A
GO_Cellular_Component_2021	MHC class II protein complex (GO:0042613)	8/13	1.0514024005474086e-06	5.940423563092859e-05	0	0	19.397504924491138	267.01413623157885	HLA-DRB5;HLA-DMA;HLA-DOA;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	U2-type spliceosomal complex (GO:0005684)	20/89	9.994359128514342e-06	0.0004840125349380517	0	0	3.5296712993602477	40.6388341893697	SRRM2;SF3A3;CDC5L;PRPF40A;CASC3;CWC15;SMU1;LSM8;PRPF39;PRPF6;SNW1;SYF2;U2AF2;PRPF3;SNRPG;LUC7L3;SNRPA1;SNRNP200;SF3B1;LUC7L2
GO_Cellular_Component_2021	ribosome (GO:0005840)	16/62	1.1972570141779776e-05	0.0005073376597579181	0	0	4.22970297029703	47.9347684186627	RPL36A;EIF2AK2;LARP4B;SRP68;RPL9;RPS26;RPS17;RPS28;RPL18A;RPS29;RPL36;RPL38;RPL39;RPS10;RPS21;GCN1
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	15/59	2.7036975384670496e-05	0.0010183927394892	0	0	4.143304749340369	43.58054376637691	RPL34;RPLP1;RPL12;RPL22;RPL36A;RPL9;MRPL10;RPL7;MRPL22;RPL18A;RPL36;RPL38;RPL37;RPL39;RSL24D1
GO_Cellular_Component_2021	polysomal ribosome (GO:0042788)	10/30	4.859082126005445e-05	0.0014724448688905	0	0	6.064760026298488	60.2356569441305	RPS26;RPS28;RPL18A;RPS29;RPL36A;RPL36;RPL38;LARP4B;RPL39;RPS21
