Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Coronavirus disease	37/232	4.213992113843691e-09	1.1546338391931711e-06	0	0	3.362198912198912	64.83951982420537	RPS10-NUDT3;RPL34;RPLP1;RPL12;RPL36A;RPS27L;CGAS;ADAR;PIK3R1;RPS4Y1;RPL9;RPL7;IFIH1;RPS17;RPL18A;RPL36;RPL38;RPL37;RPL39;RPS10;PRKCB;MX2;RPL22;MX1;EIF2AK2;NFKB1;RPS26;RPS28;ADAM17;RPS29;OAS3;RPS20;TAB2;IL6ST;RPS21;RSL24D1;IRF9
KEGG_2021_Human	Epstein-Barr virus infection	31/202	1.832369576949324e-07	2.510346320420574e-05	0	0	3.1982907677228223	49.61343970570189	PSMD12;CD3G;PIK3R1;CD3D;RELB;HLA-DMA;BCL2L11;CIR1;E2F3;POLK;HLA-DQA2;HLA-DQA1;HLA-DPA1;HLA-DRB5;EIF2AK2;HLA-G;NFKB1;SAP30;NFKB2;TAPBP;SNW1;PSMC6;OAS3;BCL2;FAS;TAB2;VIM;HLA-DRB1;CD44;IRF9;HLA-DQB1
KEGG_2021_Human	Th17 cell differentiation	20/107	1.2111307441479924e-06	8.537406475705036e-05	0	0	4.032093925078467	54.93307076921245	HLA-DRB5;SMAD3;HSP90AB1;RORA;CD3G;AHR;HIF1A;CD3D;NFKB1;RUNX1;HLA-DMA;PPP3CC;IL21R;PRKCQ;IL6ST;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Hematopoietic cell lineage	19/99	1.46754406979109e-06	8.537406475705036e-05	0	0	4.16332635009311	55.92146753071124	HLA-DRB5;CSF1;TFRC;ITGA4;IL5RA;CD3G;CD3D;CD2;HLA-DMA;CD8B;CD5;CD37;IL7R;HLA-DQA2;HLA-DQA1;HLA-DRB1;CD44;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Ribosome	25/158	1.5579208897271964e-06	8.537406475705036e-05	0	0	3.3042578356002363	44.185059134474216	RPS10-NUDT3;RPL34;RPLP1;RPL12;RPL36A;RPS27L;RPS4Y1;RPL9;MRPL10;RPL7;RPS17;RPL18A;RPL36;RPL38;RPL37;RPL39;RPS10;RPL22;MRPL22;RPS26;RPS28;RPS29;RPS20;RPS21;RSL24D1
KEGG_2021_Human	mRNA surveillance pathway	17/98	2.1020234732624534e-05	0.000880613233557385	0	0	3.672059295975033	39.54817051265769	UPF2;SMG1;RNMT;PABPC4;CASC3;MSI2;PPP2R5C;SMG7;GSPT1;SRRM1;WDR33;PPP2CA;PPP1CC;PPP2R2B;PPP2R2D;ETF1;PABPC1
KEGG_2021_Human	Influenza A	24/172	2.2497418375553628e-05	0.000880613233557385	0	0	2.845650140318054	30.454460806697863	HLA-DRB5;RSAD2;PRKCB;MX2;MX1;EIF2AK2;TNFRSF10B;ADAR;PIK3R1;NFKB1;IFIH1;HLA-DMA;OAS3;CCL5;KPNA6;EP300;FAS;NUP98;HLA-DQA2;HLA-DQA1;HLA-DRB1;IRF9;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Intestinal immune network for IgA production	11/48	4.307988548838933e-05	0.0014754860779773	0	0	5.184842883548983	52.12039647032344	IL15RA;HLA-DMA;HLA-DRB5;ITGA4;IL15;ICOS;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	27/219	6.659056204483165e-05	0.0018684759454012	0	0	2.468852603189493	23.74282636758167	CD3G;PIK3R1;CD3D;RELB;HLA-DMA;PPP3CC;PTTG1;CDC27;EP300;E2F3;PRKACB;HLA-DQA2;HLA-DQA1;HLA-DPA1;IL15RA;EGR1;EGR2;HLA-DRB5;SMAD3;IL15;CDKN2A;HLA-G;NFKB1;NFKB2;KRAS;HLA-DRB1;HLA-DQB1
KEGG_2021_Human	Spliceosome	21/150	6.819255275187202e-05	0.0018684759454012	0	0	2.8515706351961123	27.35561668795793	U2AF1L5;TCERG1;RBM25;PRPF40A;CWC15;LSM8;PRPF6;SNW1;SYF2;U2AF2;PRPF3;TRA2B;SNRPG;SRSF2;SNRPA1;SNRNP200;SLU7;SF3B1;SRSF10;RBMX;SNRPA
