Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Translation Homo sapiens R-HSA-72766	74/151	3.5567373401820427e-37	4.246744384177359e-34	0	0	9.983116138021474	837.8510393477155	RPL4;EIF4A2;RPL5;SRP19;RPL30;TRAM1;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;SRP14;RPL8;RPL10A;RPL9;RPL6;RPL7;SEC61A2;RPS17;RPS19;RPL18A;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;EIF5B;RPS8;RPL23;RPL22;RPL13A;EEF1A1;EEF1D;RPL37A;ETF1;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;EIF4H;RPL13;RPL17;EIF4E;EIF4B;RPL19;RPL41;SRP68;EEF2;RPS26;RPS25;SPCS3;RPS28;EIF3M;EIF2S3;RPS27;EIF5;RPS29;EIF3J;RPS20;EIF3E;RPS21;EIF3A
Reactome_2016	Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	61/106	3.6108018261387446e-36	1.4370991268032204e-33	0	0	14.001746393318149	1142.6703904718277	RPL4;RPL5;RPL30;SMG1;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;CASC3;RPL8;RPL10A;SMG7;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;UPF2;UPF1;NCBP1;RPS8;NCBP2;RPL23;RPL22;RPL13A;RPL37A;ETF1;PABPC1;RBM8A;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;PPP2CA;RPS15A;RPL14;RPL13;RPL17;RPL19;RPL41;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPS21
Reactome_2016	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	61/106	3.6108018261387446e-36	1.4370991268032204e-33	0	0	14.001746393318149	1142.6703904718277	RPL4;RPL5;RPL30;SMG1;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;CASC3;RPL8;RPL10A;SMG7;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;UPF2;UPF1;NCBP1;RPS8;NCBP2;RPL23;RPL22;RPL13A;RPL37A;ETF1;PABPC1;RBM8A;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;PPP2CA;RPS15A;RPL14;RPL13;RPL17;RPL19;RPL41;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPS21
Reactome_2016	GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	61/107	7.670976374345727e-36	2.2897864477421998e-33	0	0	13.69660542735466	1107.4475160907273	RPL4;EIF4A2;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;EIF5B;RPS8;RPL23;RPL22;RPL13A;RPL37A;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;EIF4H;RPL13;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS26;RPS25;RPS28;EIF3M;EIF2S3;RPS27;EIF5;RPS29;EIF3J;RPS20;EIF3E;RPS21;EIF3A
Reactome_2016	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	55/89	4.825474937465772e-35	8.458274136069645e-33	0	0	16.66213193563464	1316.584499315584	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS17;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;UPF1;NCBP1;RPS8;NCBP2;RPL23;RPL22;RPL13A;RPL37A;ETF1;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPL17;RPL19;RPL41;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPS21
Reactome_2016	L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	60/106	4.958787181950376e-35	8.458274136069645e-33	0	0	13.46440325653906	1063.5440179045838	RPL4;EIF4A2;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS8;RPL23;RPL22;RPL13A;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;EIF4H;RPL13;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS26;RPS25;RPS28;EIF3M;EIF2S3;RPS27;RPS29;EIF3J;RPS20;EIF3E;RPS21;EIF3A
Reactome_2016	3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	60/106	4.958787181950376e-35	8.458274136069645e-33	0	0	13.46440325653906	1063.5440179045838	RPL4;EIF4A2;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS8;RPL23;RPL22;RPL13A;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;EIF4H;RPL13;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS26;RPS25;RPS28;EIF3M;EIF2S3;RPS27;RPS29;EIF3J;RPS20;EIF3E;RPS21;EIF3A
Reactome_2016	Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	62/114	8.956007534476819e-35	1.1881636662405911e-32	0	0	12.317795310103005	965.6924101486322	RPL4;EIF4A2;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;EIF5B;RPS8;RPL23;RPL22;RPL13A;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;EIF4H;RPL13;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS26;RPS25;RPS28;EIF3M;EIF2S3;RPS27;EIF5;RPS29;EIF3J;RPS20;EIF3E;RPS21;EIF3A
Reactome_2016	Eukaryotic Translation Initiation Homo sapiens R-HSA-72613	62/114	8.956007534476819e-35	1.1881636662405911e-32	0	0	12.317795310103005	965.6924101486322	RPL4;EIF4A2;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS17;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;EIF5B;RPS8;RPL23;RPL22;RPL13A;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;EIF4H;RPL13;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS26;RPS25;RPS28;EIF3M;EIF2S3;RPS27;EIF5;RPS29;EIF3J;RPS20;EIF3E;RPS21;EIF3A
Reactome_2016	Peptide chain elongation Homo sapiens R-HSA-156902	52/84	2.9634360207397068e-33	3.5383426087632103e-31	0	0	16.71126062322946	1251.6560185068677	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS17;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS8;RPL23;RPL22;RPL13A;EEF1A1;RPL37A;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPL17;RPL19;RPL41;EEF2;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPS21
